fund,vintage,age_years,committed,paid_in,distributed,nav,unfunded,dpi,rvpi,tvpi,net_irr,meaningful
Apollo Investment Fund IV L.P.,1998,27,150000000.0,154085315.0,254289011.0,23483.0,0.0,1.6503130814250533,0.00015240258294568824,1.650465484007999,8.5,True
Blackstone Communications Partners I L.P.,2000,25,100000000.0,111242017.0,136083476.0,21107.0,0.0,1.2233100376092605,0.00018973945788847032,1.223499777067149,6.5,True
CVC European Equity Partners III LP,2001,24,200000000.0,234497567.0,606506120.0,5071065.0,0.0,2.5864068773046163,0.02162523502855789,2.608032112333174,41.0,True
CalPERS Corporate Partners LLC,2001,24,500000000.0,533507990.0,831997162.0,241.0,0.0,1.559483976987861,4.5172706785515995e-07,1.559484428714929,9.3,True
Yucaipa Corporate Initiatives Fund I L.P.,2001,24,200000000.0,288812581.0,224109059.0,1530245.0,0.0,0.7759670933448706,0.005298401457102729,0.7812654948019733,-3.7,True
California Community Venture Fund LLC,2003,22,100000000.0,100067655.0,88478382.0,2503493.0,0.0,0.8841856242159367,0.025018004069346882,0.9092036282852836,-1.6,True
Carlyle Europe Partners II L.P.,2003,22,42142174.0,93186079.0,149009090.0,87008.0,0.0,1.5990488235909142,0.0009337016959367933,1.5999825252868511,19.7,True
TPG Partners IV L.P.,2003,22,200000000.0,225811661.0,428892245.0,453400.0,0.0,1.8993361241871385,0.0020078679639135197,1.901343992151052,15.3,True
Permira Europe III,2004,21,126989866.0,126989866.0,219524851.0,65077.0,0.0,1.7286800743612092,0.0005124582145791067,1.7291925325757884,26.6,True
Advent International GPE V-D L.P.,2005,20,81102858.0,77609736.0,187471024.0,0.0,3493122.0,2.415560645638583,0.0,2.415560645638583,42.7,True
Birch Hill Equity Partners (US) III LP,2005,20,126541940.0,142696482.0,271382079.0,0.0,0.0,1.9018133817762934,0.0,1.9018133817762934,12.1,True
Carlyle Asia Growth Partners III L.P.,2005,20,75000000.0,84766869.0,78177512.0,0.0,0.0,0.9222649476412772,0.0,0.9222649476412772,-1.4,True
Apollo Investment Fund VI L.P.,2006,19,520000000.0,866357105.0,1218417644.0,8863949.0,0.0,1.406368848328427,0.010231287939861704,1.4166001362682885,8.2,True
Blackstone Capital Partners V L.P.,2006,19,38400000.0,794822847.0,1222737110.0,0.0,0.0,1.5383769032497376,0.0,1.5383769032497376,7.8,True
