fund,vintage,committed,cash_in,cash_out,cash_out_remaining,net_irr
Apollo Investment Fund IV L.P.,1998,150000000,154085315,254289011,254312494,8.5
Blackstone Communications Partners I L.P.,2000,100000000,111242017,136083476,136104583,6.5
CVC European Equity Partners III LP,2001,200000000,234497567,606506120,611577185,41.0
CalPERS Corporate Partners LLC,2001,500000000,533507990,831997162,831997403,9.3
Yucaipa Corporate Initiatives Fund I L.P.,2001,200000000,288812581,224109059,225639304,-3.7
California Community Venture Fund LLC,2003,100000000,100067655,88478382,90981875,-1.6
Carlyle Europe Partners II L.P.,2003,42142174,93186079,149009090,149096098,19.7
TPG Partners IV L.P.,2003,200000000,225811661,428892245,429345645,15.3
Permira Europe III,2004,126989866,126989866,219524851,219589928,26.6
Advent International GPE V-D L.P.,2005,81102858,77609736,187471024,187471024,42.7
Birch Hill Equity Partners (US) III LP,2005,126541940,142696482,271382079,271382079,12.1
Carlyle Asia Growth Partners III L.P.,2005,75000000,84766869,78177512,78177512,-1.4
Apollo Investment Fund VI L.P.,2006,520000000,866357105,1218417644,1227281593,8.2
Blackstone Capital Partners V L.P.,2006,38400000,794822847,1222737110,1222737110,7.8
KKR 2006 Fund L.P.,2006,400000000,595407506,940703667,940703667,8.2
TPG Partners V L.P.,2006,600000000,811329685,1007256750,1007256750,3.7
Lime Rock Partners IV LP,2006,43000000,47917078,139501029,139580882,14.6
Carlyle Partners V L.P.,2007,800000000,1067512609,1725940265,1747216502,12.8
Green Equity Investors V L.P.,2007,400000000,445789540,1023767776,1024425248,18.4
New Mountain Partners III L.P.,2007,400000000,470815270,1054284551,1069884046,14.6
Silver Lake Partners III L.P.,2007,480000000,612701322,1189028778,1190736212,18.5
CalPERS Clean Energy & Technology Fund LLC,2007,465000000,468423814,132249749,137914911,-18.5
Advent International GPE VI-A L.P.,2008,500000000,502306204,1006375016,1045055779,16.3
Ares Corporate Opportunities Fund III L.P.,2008,400000000,512078628,1059418691,1060812386,20.2
California Asia Investors L.P.,2008,150000000,149713894,626729398,632589493,26.5
Yucaipa American Alliance Fund II L.P.,2008,400000000,560638831,617055737,977064251,7.7
Yucaipa Corporate Initiatives Fund II L.P.,2008,93539524,91400621,81687571,82789584,-1.3
57 Stars Global Opportunities Fund 2 LLC,2009,500000000,530332243,537037595,757666632,5.7
Khosla Ventures III L.P.,2009,200000000,200000000,362846119,369852581,9.7
SAIF Partners IV L.P.,2010,120000000,153776026,185133795,238628824,5.3
Blackstone Capital Partners VI L.P.,2011,375000000,544092832,907753368,977420447,12.3
Francisco Partners III L.P.,2011,100000000,95284663,300844853,327549758,22.9
Hellman & Friedman Capital Partners VII,2011,300000000,286896670,945792700,968515260,24.6
Blackstone Tactical Opportunities Fund - C L.P.,2012,800000000,994514198,1330108332,1342029087,9.3
Clearlake Capital Partners III LP,2012,50000000,70740191,202436054,203989295,40.7
Carlyle Partners VI L.P.,2013,300850000,597079518,1121909168,1184987411,15.8
KKR Asian Fund II L.P.,2013,350000000,652133628,608674500,676927873,1.1
Silver Lake Partners IV L.P.,2013,320000000,380193229,689977924,1057540978,20.9
